,original_country_name,original_ccode,original_facility_name,Coordinates,start_date,Latitude,Longitude,geometry
104,Russia,365,"Laboratory No. 2, Moscow",55.755826.37.6173,1943,55.755826,37.6173,POINT (55.755826 37.6173)
105,Russia,365,Leningrad Compressor Plant,59.9342596.30.3350941,1945,59.9342596,30.3350941,POINT (59.9342596 30.3350941)
106,Russia,365,Gorky Machine Building Plant,56.33362912398834. 43.89175526994961,1947,56.33362912398834, 43.89175526994961,POINT (56.33362912398834 43.89175526994961)
107,Russia,365,"B Plant, Mayak (Chelyabinsk-65)",55.7674306.60.69308710000001,1946,55.7674306,60.69308710000001,POINT (55.7674306 60.69308710000001)
108,Russia,365,"Pilot Centrifuge Plant, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1955,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
109,Russia,365,"Commercial Centrifuge Plant 1, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,1960,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
110,Russia,365,"Commercial Centrifuge Plant 2, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,-99,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
111,Russia,365,"Commercial Centrifuge Plant 3, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,-99,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
112,Russia,365,"Commercial Centrifuge Plant 4, Urals Electro-Chemical Combine, Novouralsk",57.2485663.60.0888714,-99,57.2485663,60.0888714,POINT (57.2485663 60.0888714)
113,Russia,365,Radium Institute,60.00177681372037. 30.349107439104447,1942,60.00177681372037, 30.349107439104447,POINT (60.00177681372037 30.349107439104447)
114,Russia,365,RIAR (Research Institute of Atomic Reactors),54.187732.49.4759616,1956,54.187732,49.4759616,POINT (54.187732 49.4759616)
115,Russia,365,"RT–1, Combined Mayak in Ozersk/Chelyabinsk-65",55.7674306.60.69308710000001,1971,55.7674306,60.69308710000001,POINT (55.7674306 60.69308710000001)
116,Russia,365,RT – 2,42.5725316.-72.1553494,1976,42.5725316,-72.1553494,POINT (42.5725316 -72.1553494)
